Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Zn 3Po;v=3d10.4s.4p,Zn 1S;v=3d10.4s2,2.6316e-05,-4.02956706956469
Zn 1Po;v=3d10.4s.4p,Zn 1S;v=3d10.4s2,1.4006e-09,-5.79555725272232
Zn 1S;v=3d10.4s.5s,Zn 1Po;v=3d10.4s.4p,4.1667e-08,-1.1212624275794
Zn 1D;v=3d10.4s.4d,Zn 1Po;v=3d10.4s.4p,2.1277e-08,-1.9481311672967
Zn 3D;v=3d10.4s.4d,Zn 3Po;v=3d10.4s.4p,6.1919e-09,-3.75258036160397
Zn 3Po;v=3d9.4s2.4p,Zn 1S;v=3d10.4s2,3.2258e-08,-11.1864642134066
Zn 2[3/2]o;v=3d9(2D_5/2)4s2.5p,Zn 1S;v=3d10.4s2,3.8462e-08,-15.3078518621377
Zn 2[1/2]o;v=3d9(2D_3/2)4s2.5p,Zn 1S;v=3d10.4s2,5.5556e-08,-15.6133418797803
Zn 2[3/2]o;v=3d9(2D_3/2)4s2.5p,Zn 1S;v=3d10.4s2,1.7544e-07,-15.6542557214288
Zn 2[3/2]o;v=3d9(2D_5/2)4s2.6p,Zn 1S;v=3d10.4s2,1.3158e-07,-16.195930188588
