Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d10.4s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0""","=""                                                ""","=""L9171"""
"=""3d10.4p""","=""2P*""","=""1/2""",2,"=""""","=""6.010878""","=""""","=""""","=""                                                ""","="""""
"=""3d10.4p""","=""2P*""","=""3/2""",4,"=""""","=""6.119245""","=""""","=""""","=""                                                ""","="""""
"=""3d9.4s2""","=""2D""","=""5/2""",6,"=""""","=""7.776593""","=""""","=""""","=""                                                ""","="""""
"=""3d9.4s2""","=""2D""","=""3/2""",4,"=""""","=""8.113729""","=""""","=""""","=""                                                ""","="""""
"=""3d10.5s""","=""2S""","=""1/2""",2,"=""""","=""10.964809""","=""""","=""""","=""                                                ""","="""""
"=""3d10.4d""","=""2D""","=""3/2""",4,"=""""","=""12.015276""","=""""","=""""","=""                                                ""","="""""
"=""3d10.4d""","=""2D""","=""5/2""",6,"=""""","=""12.021557""","=""""","=""""","=""                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""1/2""",2,"=""""","=""12.56777""","=""""","=""""","=""                                                ""","="""""
"=""3d10.5p""","=""2P*""","=""3/2""",4,"=""""","=""12.59821""","=""""","=""""","=""                                                ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""",6,"=""""","=""12.85736""","=""""","=""""","=""  98                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""",4,"=""""","=""13.05835""","=""""","=""""","=""  96                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""",2,"=""""","=""13.20789""","=""""","=""""","=""  98                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""",10,"=""""","=""13.23902""","=""""","=""""","="" 100                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""",8,"=""""","=""13.24801""","=""""","=""""","=""  89         :     8  3d9.(2D).4s.4p.(3P*) 2F*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""",6,"=""""","=""13.29961""","=""""","=""""","=""  82         :    16  3d9.(2D).4s.4p.(3P*) 2F*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""",4,"=""""","=""13.41855""","=""""","=""""","=""  97                                            ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""5/2""",6,"=""""","=""13.72162""","=""""","=""""","=""  73         :    16  3d9.(2D).4s.4p.(3P*) 4D*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""",8,"=""""","=""13.93703""","=""""","=""""","=""  75         :    13  3d9.(2D).4s.4p.(3P*) 4D*  ""","="""""
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""7/2""",8,"=""""","=""13.74578""","=""""","=""""","=""  84         :    16  3d9.(2D).4s.4p.(3P*) 2F*  ""","="""""
