spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Zn II,Zn,1,3d10.4s,2S,0.5,2,0.0,0.0,even,,no,17.96439,,,,,,,,,,L9171
Zn II,Zn,1,3d10.4p,2P*,0.5,2,6.010878,,odd,,no,17.96439,2.5906735751295336e-09,"ASD 1/sum(Aki), J-resolved",2.5906735751295336e-09,1/1,yes,6.010878,6.010878,,,
Zn II,Zn,1,3d10.4p,2P*,1.5,4,6.119245,,odd,,no,17.96439,2.457002457002457e-09,"ASD 1/sum(Aki), J-resolved",2.457002457002457e-09,1/1,yes,6.119245,6.119245,,,
Zn II,Zn,1,3d9.4s2,2D,2.5,6,7.776593,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.4s2,2D,1.5,4,8.113729,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.5s,2S,0.5,2,10.964809,,even,,no,17.96439,1.7006802721088435e-09,"ASD 1/sum(Aki), J-resolved",1.7006802721088435e-09,2/2,yes,4.845564,4.953931000000001,,,
Zn II,Zn,1,3d10.4d,2D,1.5,4,12.015276,,even,,no,17.96439,1.8083182640144665e-09,"ASD 1/sum(Aki), J-resolved",1.8083182640144665e-09,2/2,yes,6.004398,6.004398,,,
Zn II,Zn,1,3d10.4d,2D,2.5,6,12.021557,,even,,no,17.96439,1.7857142857142858e-09,"ASD 1/sum(Aki), J-resolved",1.7857142857142858e-09,1/1,yes,5.902311999999999,5.902311999999999,,,
Zn II,Zn,1,3d10.5p,2P*,0.5,2,12.56777,,odd,,no,17.96439,1.806032147372223e-08,"ASD 1/sum(Aki), J-resolved",1.806032147372223e-08,2/2,yes,1.6029609999999987,4.454041,,,
Zn II,Zn,1,3d10.5p,2P*,1.5,4,12.59821,,odd,,no,17.96439,1.3603591348115903e-08,"ASD 1/sum(Aki), J-resolved",1.3603591348115903e-08,3/3,yes,1.6334009999999992,4.821617,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4P*,2.5,6,12.85736,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4P*,1.5,4,13.05835,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4P*,0.5,2,13.20789,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4F*,4.5,10,13.23902,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4F*,3.5,8,13.24801,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4F*,2.5,6,13.29961,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4F*,1.5,4,13.41855,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2F*,2.5,6,13.72162,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2F*,3.5,8,13.93703,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4D*,3.5,8,13.74578,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4D*,2.5,6,13.85437,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4D*,1.5,4,13.88552,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),4D*,0.5,2,13.95255,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2P*,0.5,2,14.07133,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2P*,1.5,4,14.07211,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2D*,1.5,4,14.139782,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(3P*),2D*,2.5,6,14.237595,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6s,2S,0.5,2,14.195945,,even,,no,17.96439,1.0395010395010395e-08,"ASD 1/sum(Aki), J-resolved",1.0395010395010395e-08,2/3,no,1.5977350000000001,8.185067,,,
Zn II,Zn,1,3d10.4f,2F*,3.5,8,14.53881,,odd,,no,17.96439,3.6764705882352943e-09,"ASD 1/sum(Aki), J-resolved",3.6764705882352943e-09,1/1,yes,2.517253,2.517253,,,
Zn II,Zn,1,3d10.4f,2F*,2.5,6,14.53888,,odd,,no,17.96439,5.413892046992583e-09,"ASD 1/sum(Aki), J-resolved",5.413892046992583e-09,2/3,no,2.5236040000000006,6.425151000000001,,,
Zn II,Zn,1,3d10.5d,2D,1.5,4,14.626332,,even,,no,17.96439,1.2613521695257316e-08,"ASD 1/sum(Aki), J-resolved",1.2613521695257316e-08,2/3,no,2.0585620000000002,8.615454,,,
Zn II,Zn,1,3d10.5d,2D,2.5,6,14.629343,,even,,no,17.96439,1.610305958132045e-08,"ASD 1/sum(Aki), J-resolved",1.610305958132045e-08,1/2,no,2.0311330000000005,8.510098,,,
Zn II,Zn,1,3d10.6p,2P*,0.5,2,14.864281,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6p,2P*,1.5,4,14.873063,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7s,2S,0.5,2,15.60713,,even,,no,17.96439,4.081632653061225e-08,"ASD 1/sum(Aki), J-resolved",4.081632653061225e-08,2/2,yes,3.00892,3.0393600000000003,,,
Zn II,Zn,1,3d10.5f,2F*,3.5,8,15.77074,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.5f,2F*,2.5,6,15.77196,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.5g,2G,4.5,10,15.78453,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.5g,2G,3.5,8,15.78454,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6d,2D,1.5,4,15.82418,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6d,2D,2.5,6,15.8258,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7p,2P*,1.5,4,15.912559,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7p,2P*,0.5,2,15.93426,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2F*,3.5,8,16.119714,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2F*,2.5,6,16.50797,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2P*,1.5,4,16.164015,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2P*,0.5,2,16.58987,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2D*,2.5,6,16.322635,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.(2D).4s.4p.(1P*),2D*,1.5,4,16.6937,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8s,2S,0.5,2,16.35065,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8p,2P*,0.5,2,16.41736,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8p,2P*,1.5,4,16.56703,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6f,2F*,2.5,6,16.440812,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6f,2F*,3.5,8,16.44519,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6g,2G,3.5,8,16.45071,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.6g,2G,4.5,10,16.45071,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7d,2D,1.5,4,16.47509,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7d,2D,2.5,6,16.47606,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.9s,2S,0.5,2,16.79035,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7f,2F*,3.5,8,16.8482,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7f,2F*,2.5,6,16.84854,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7g,2G,3.5,8,16.8524,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.7g,2G,4.5,10,16.8524,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8d,2D,1.5,4,16.86829,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8d,2D,2.5,6,16.86889,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.9p,2P*,1.5,4,16.9245,,odd,yes,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8f,2F*,3.5,8,17.11008,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.8f,2F*,2.5,6,17.11023,,odd,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.9d,2D,1.5,4,17.12395,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d10.9d,2D,2.5,6,17.12439,,even,,no,17.96439,,,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,4D,3.5,8,20.00093,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,4D,2.5,6,20.09416,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,4D,1.5,4,20.19665,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,4D,0.5,2,20.3421,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,2D,2.5,6,20.45726,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).5s,2D,1.5,4,20.49175,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(1D).5s,2D,2.5,6,20.78278,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,1,3.5,8,20.97199,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,3,2.5,6,21.00884,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,4,2.5,6,21.07562,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,5,0.5,2,21.215,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,6,2.5,6,21.22257,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,7,3.5,8,21.28102,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,8,1.5,4,21.30391,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,9,2.5,6,21.34583,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,11,2.5,6,21.36762,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,12,3.5,8,21.44965,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,13,2.5,6,21.45364,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,14,2.5,6,21.4914,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,20,,6,21.51878,,even,yes,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.4d,21,4.5,10,21.51893,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).6s,4D,3.5,8,23.70553,,even,,yes,17.96439,,autoionizing - not in any database,,,,,,,,
Zn II,Zn,1,3d9.4s.(3D).6s,2D,2.5,6,23.8791,,even,yes,yes,17.96439,,autoionizing - not in any database,,,,,,,,
