spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Zn III,Zn,2,3d10,1S,0.0,1,0.0,0.0,even,,no,39.7233,,,,,,,,,,L9171
Zn III,Zn,2,3d9.4s,3D,3.0,7,9.68271,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4s,3D,2.0,5,9.82867,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4s,3D,1.0,3,10.02415,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4s,1D,2.0,5,10.35272,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3P*,2.0,5,17.09326,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3P*,1.0,3,17.36659,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3P*,0.0,1,17.53044,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3F*,3.0,7,17.43897,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3F*,4.0,9,17.52231,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3F*,2.0,5,17.66568,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,1F*,3.0,7,17.91587,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,1D*,2.0,5,18.00795,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3D*,3.0,7,18.09755,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3D*,1.0,3,18.2965,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,3D*,2.0,5,18.33993,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4p,1P*,1.0,3,18.2875,,odd,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3F,4.0,9,23.59931,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3F,3.0,7,23.89965,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3F,2.0,5,24.09054,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,1D,2.0,5,25.79383,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3P,2.0,5,26.25062,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3P,1.0,3,26.27482,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d8.4s2,3P,0.0,1,26.32684,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3S,1.0,3,26.57688,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.(2D<5/2>).5s,"(5/2,1/2)",3.0,7,26.64148,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.(2D<5/2>).5s,"(5/2,1/2)",2.0,5,26.69882,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3G,4.0,9,26.83818,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3G,5.0,11,26.85589,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3G,3.0,7,27.23746,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3P,1.0,3,26.89159,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3P,2.0,5,26.91372,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3P,0.0,1,27.08162,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3D,3.0,7,26.98588,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3D,2.0,5,27.09554,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3D,1.0,3,27.27734,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.(2D<3/2>).5s,"(3/2,1/2)",1.0,3,26.98686,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.(2D<3/2>).5s,"(3/2,1/2)",2.0,5,27.00956,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3F,3.0,7,27.03358,,even,,no,39.7233,,,,,,,,,,
Zn III,Zn,2,3d9.4d,3F,4.0,9,27.0337,,even,,no,39.7233,,,,,,,,,,
