obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""237.514""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""238.490""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""238.874""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""238.994""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""240.625""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""254.041""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""255.128""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""255.720""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.822""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""259.042""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""261.021""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""263.621""","=""""","=""80""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""264.857""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""265.948""","=""""","=""70""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""268.855""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""269.372""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""272.628""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""277.486""","=""""","=""170bl""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""279.096""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""279.286""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""281.573""","=""""","=""620""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""283.806""","=""""","=""710""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""284.936""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""287.682""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""289.311""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""296.173""","=""""","=""320""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""297.006""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.626""","=""""","=""820""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.625""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
