obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""242.015""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.059""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""245.818""","=""""","=""21""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""248.804""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""249.723""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""253.322""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""254.286""","=""""","=""220""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""255.151""","=""""","=""220""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.841""","=""""","=""570""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""256.964""","=""""","=""1600""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""257.216""","=""""","=""2100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""258.417""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""258.984""","=""""","=""130""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""263.169""","=""""","=""150""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""263.988""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""264.419""","=""""","=""70""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""265.117""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""266.859""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""267.028""","=""""","=""55""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""267.175""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""267.943""","=""""","=""1800""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""268.256""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""269.340""","=""""","=""90""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""269.433""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""269.486""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""269.623""","=""""","=""70""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""270.040""","=""""","=""95""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""270.093""","=""""","=""750""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""271.231""","=""""","=""280""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""271.322""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""271.506""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""272.342""","=""""","=""1300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""272.730""","=""""","=""800""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""273.353""","=""""","=""490""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""273.567""","=""""","=""1400""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""274.132""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""274.236""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""274.337""","=""""","=""1100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""274.667""","=""""","=""660""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""275.302""","=""""","=""660""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""275.963""","=""""","=""530""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""276.955""","=""""","=""200bl""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""276.967""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""277.498""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""279.772""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""279.998""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""281.174""","=""""","=""180""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
