spectrum,element,charge,configuration,term,J,g,energy_eV,unc_eV,parity,doubtful,above_ionization,ionization_eV,tau_s,tau_source,tau_asd_s,asd_channels,asd_tau_complete,strongest_decay_eV,max_decay_eV,tau_lidb_s,lidb_metastable,ref
Zr II,Zr,1,4d2.(3F).5s,a 4F,1.5,4,0.0,0.0,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3F).5s,a 4F,2.5,6,0.039014,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3F).5s,a 4F,3.5,8,0.094654,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3F).5s,a 4F,4.5,10,0.16402,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4F,1.5,4,0.318913,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4F,2.5,6,0.35894,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4F,3.5,8,0.409103,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4F,4.5,10,0.46589,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(1D).5s,a 2D,1.5,4,0.526722,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(1D).5s,a 2D,2.5,6,0.558611,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3P).5s,a 2P,0.5,2,0.709733,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3P).5s,a 2P,1.5,4,0.757754,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3F).5s,a 2F,2.5,6,0.713271,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3F).5s,a 2F,3.5,8,0.801881,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3P).5s,a 4P,0.5,2,0.931452,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3P).5s,a 4P,1.5,4,0.959144,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(3P).5s,a 4P,2.5,6,0.999085,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,a 2G,3.5,8,0.971756,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,a 2G,4.5,10,1.010818,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4P,0.5,2,1.184433,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4P,1.5,4,1.207953,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 4P,2.5,6,1.235955,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,a 2H,4.5,10,1.485884,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,a 2H,5.5,12,1.532403,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2D,1.5,4,1.664922,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2D,2.5,6,1.755976,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(1G).5s,b 2G,3.5,8,1.743188,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(1G).5s,b 2G,4.5,10,1.759392,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d.5s2,c 2D,1.5,4,1.772805,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d.5s2,c 2D,2.5,6,1.826705,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2F,3.5,8,2.409415,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2F,2.5,6,2.419532,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2P,0.5,2,2.431769,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,b 2P,1.5,4,2.48964,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d2.(1S).5s,a 2S,0.5,2,3.124596,,even,,no,13.13,,,,,,,,,,L3465
Zr II,Zr,1,4d3,d 2D,2.5,6,3.426998,,even,,no,13.13,,,,,,,,,,L807
Zr II,Zr,1,4d3,d 2D,1.5,4,3.434357,,even,,no,13.13,,,,,,,,,,L807
Zr II,Zr,1,4d2.(3F).5p,z 4G*,2.5,6,3.469553,,odd,,no,13.13,,,,,,,,,,L3465
